0 0 idle idle
2023-12-23 05:15:41.101688 idle idle
2023-12-23 05:15:42.108683 idle idle
2023-12-23 05:15:43.114065 idle idle
2023-12-23 05:15:49.862474 idle idle
2023-12-23 05:15:51.750096 idle idle
2023-12-23 05:15:53.694196 idle idle
2023-12-23 05:16:54.252791 idle idle
2023-12-23 05:16:55.965878 idle idle
2023-12-23 05:16:57.998451 idle idle
2023-12-23 05:16:59.401793 idle idle
2023-12-23 05:17:08.436751 Down A
2023-12-23 05:17:10.564997 Down A
2023-12-23 05:17:12.414768 Down A
2023-12-23 05:17:14.896491 Down A
